index,RespondentID,Political_Views,Trust_In_Press,Online_Paid_Access,Impression_With_Access_To_Data,Trump_As_President,Age,Gender,Income,US_Region,StartDate,EndDate
61,6175575232,Moderate,Fair Amount,No,Increase Trust,Somewhat Disapprove,30-44,Male,"$200,000 & up",Mountain,5/1/2017 0:33,5/1/2017 0:34
62,6175545225,Liberal,Fair Amount,No,Increase Trust,Strongly Disapprove,30-44,Male,"$100,000-$124,999",West North Central,4/30/2017 23:41,4/30/2017 23:44
63,6175543951,Moderate,Fair Amount,Yes,Increase Trust,Somewhat Disapprove,30-44,Male,"$50,000-$74,999",East South Central,4/30/2017 23:41,4/30/2017 23:41
64,6175538052,Conservative,Fair Amount,No,Increase Trust,Somewhat Approve,30-44,Male,"$50,000-$74,999",South Atlantic,4/30/2017 23:31,4/30/2017 23:32
65,6175492622,Moderate,None At All,No,No Change,Somewhat Disapprove,18-29,Male,"$0-$9,999",West South Central,4/30/2017 21:59,4/30/2017 21:59
66,6175475715,Moderate,Not Very Much,No,Increase Trust,Somewhat Approve,30-44,Male,"$150,000-$174,999",East North Central,4/30/2017 21:19,4/30/2017 21:25
67,6175452466,Moderate,Not Very Much,No,Increase Trust,Somewhat Disapprove,30-44,Male,"$100,000-$124,999",Middle Atlantic,4/30/2017 20:36,4/30/2017 20:36
68,6175440990,Conservative,Fair Amount,Yes,Decrease Trust,Somewhat Approve,18-29,Male,"$10,000-$24,999",Pacific,4/30/2017 20:13,4/30/2017 20:14
69,6175352617,Conservative,None At All,No,No Change,Somewhat Approve,30-44,Male,"$125,000-$149,999",West North Central,4/30/2017 17:19,4/30/2017 17:20
70,6175331199,Conservative,Fair Amount,No,Decrease Trust,Somewhat Disapprove,30-44,Male,"$10,000-$24,999",West North Central,4/30/2017 16:38,4/30/2017 16:39
71,6175326808,Moderate,Fair Amount,No,Increase Trust,Strongly Disapprove,18-29,Male,"$150,000-$174,999",East North Central,4/30/2017 16:30,4/30/2017 16:31
72,6175288331,Moderate,Not Very Much,No,Increase Trust,Strongly Disapprove,30-44,Male,"$25,000-$49,999",Pacific,4/30/2017 15:13,4/30/2017 15:14
73,6175234025,Conservative,None At All,No,Increase Trust,Strongly Approve,18-29,Male,"$200,000 & up",East North Central,4/30/2017 13:20,4/30/2017 13:21
74,6175217916,Very Liberal,Great Deal,No,Increase Trust,Strongly Disapprove,30-44,Male,"$25,000-$49,999",Pacific,4/30/2017 12:39,4/30/2017 12:41
75,6175208622,Very Liberal,Not Very Much,No,Increase Trust,Strongly Disapprove,30-44,Male,"$150,000-$174,999",Middle Atlantic,4/30/2017 12:15,4/30/2017 12:15
76,6175188576,Conservative,Fair Amount,No,Increase Trust,Somewhat Approve,18-29,Male,"$50,000-$74,999",West North Central,4/30/2017 11:13,4/30/2017 11:18
77,6175109552,Conservative,Not Very Much,Yes,Increase Trust,Strongly Approve,18-29,Male,"$75,000-$99,999",Mountain,4/30/2017 6:46,4/30/2017 6:53
78,6175081432,Liberal,Not Very Much,No,Increase Trust,Somewhat Disapprove,18-29,Male,Prefer Not To Answer,New England,4/30/2017 4:55,4/30/2017 4:58
79,6175069051,Very Liberal,Fair Amount,No,Increase Trust,Strongly Disapprove,30-44,Male,"$25,000-$49,999",West North Central,4/30/2017 4:10,4/30/2017 4:13
80,6175060163,Conservative,None At All,No,Increase Trust,Somewhat Approve,30-44,Male,"$200,000 & up",East South Central,4/30/2017 3:45,4/30/2017 3:47
81,6175045530,Very Conservative,Not Very Much,No,Increase Trust,Strongly Approve,30-44,Male,Prefer Not To Answer,East North Central,4/30/2017 3:02,4/30/2017 3:04
82,6175043034,Very Liberal,Fair Amount,Yes,Increase Trust,Strongly Disapprove,30-44,Male,"$125,000-$149,999",New England,4/30/2017 2:52,4/30/2017 2:57
83,6175031380,Liberal,Great Deal,No,Increase Trust,Strongly Disapprove,18-29,Male,Prefer Not To Answer,West North Central,4/30/2017 2:26,4/30/2017 2:27
84,6175021362,Conservative,None At All,No,No Change,Somewhat Approve,30-44,Male,"$75,000-$99,999",South Atlantic,4/30/2017 2:07,4/30/2017 2:08
85,6174992718,Very Conservative,None At All,No,Increase Trust,Strongly Approve,30-44,Male,"$50,000-$74,999",West South Central,4/30/2017 0:51,4/30/2017 0:53
86,6174964137,Conservative,Not Very Much,No,Increase Trust,Strongly Approve,30-44,Male,"$100,000-$124,999",West South Central,4/29/2017 23:36,4/29/2017 23:37
87,6174963958,Conservative,Fair Amount,No,No Change,Somewhat Approve,18-29,Male,"$50,000-$74,999",Pacific,4/29/2017 23:34,4/29/2017 23:36
88,6174949564,Very Conservative,Not Very Much,No,Increase Trust,Somewhat Disapprove,18-29,Male,"$25,000-$49,999",East South Central,4/29/2017 22:55,4/29/2017 22:56
89,6174942368,Liberal,Fair Amount,No,Increase Trust,Strongly Disapprove,18-29,Male,"$50,000-$74,999",South Atlantic,4/29/2017 22:36,4/29/2017 22:37
90,6174940319,Moderate,Not Very Much,No,Increase Trust,Somewhat Disapprove,18-29,Male,"$10,000-$24,999",West North Central,4/29/2017 22:30,4/29/2017 22:32
91,6174938691,Conservative,Not Very Much,No,No Change,Strongly Approve,30-44,Male,"$50,000-$74,999",East North Central,4/29/2017 22:26,4/29/2017 22:28
92,6174933174,Moderate,Fair Amount,Yes,Increase Trust,Strongly Approve,18-29,Male,"$150,000-$174,999",Pacific,4/29/2017 22:14,4/29/2017 22:15
93,6174924286,Conservative,Not Very Much,No,Increase Trust,Somewhat Approve,18-29,Male,Prefer Not To Answer,East North Central,4/29/2017 21:52,4/29/2017 21:53
94,6174905782,Moderate,Fair Amount,Yes,Decrease Trust,Strongly Disapprove,30-44,Male,"$200,000 & up",Middle Atlantic,4/29/2017 21:09,4/29/2017 21:10
95,6174904819,Conservative,Fair Amount,Yes,Increase Trust,Somewhat Approve,18-29,Male,"$10,000-$24,999",Middle Atlantic,4/29/2017 21:07,4/29/2017 21:08
96,6174903897,Liberal,Fair Amount,No,Increase Trust,Somewhat Disapprove,30-44,Male,"$0-$9,999",Middle Atlantic,4/29/2017 21:02,4/29/2017 21:06
97,6174887554,Moderate,Fair Amount,No,Decrease Trust,Strongly Approve,30-44,Male,"$10,000-$24,999",West South Central,4/29/2017 20:31,4/29/2017 20:32
98,6174882065,Very Liberal,Fair Amount,No,Increase Trust,Strongly Disapprove,30-44,Male,"$0-$9,999",South Atlantic,4/29/2017 20:20,4/29/2017 20:21
99,6174877215,Conservative,None At All,No,No Change,Strongly Approve,30-44,Male,"$50,000-$74,999",East North Central,4/29/2017 18:52,4/29/2017 20:11
100,6174817286,Very Liberal,Not Very Much,No,Increase Trust,Strongly Disapprove,30-44,Male,"$25,000-$49,999",East South Central,4/29/2017 18:15,4/29/2017 18:16
101,6174810375,Liberal,Not Very Much,No,Increase Trust,Strongly Disapprove,18-29,Male,Prefer Not To Answer,East North Central,4/29/2017 18:03,4/29/2017 18:04
102,6174794249,Moderate,Fair Amount,No,Increase Trust,Somewhat Disapprove,18-29,Male,"$0-$9,999",West South Central,4/29/2017 16:47,4/29/2017 17:35
103,6174790001,Moderate,Fair Amount,Yes,Decrease Trust,Somewhat Approve,18-29,Male,Prefer Not To Answer,Pacific,4/29/2017 17:27,4/29/2017 17:27
104,6174756846,Very Liberal,Fair Amount,No,Increase Trust,Strongly Disapprove,30-44,Male,"$10,000-$24,999",Pacific,4/29/2017 16:17,4/29/2017 16:29
105,6174747637,Moderate,Not Very Much,No,Increase Trust,Strongly Approve,30-44,Male,"$50,000-$74,999",Middle Atlantic,4/29/2017 16:12,4/29/2017 16:14
106,6174736665,Very Liberal,Not Very Much,Yes,Increase Trust,Strongly Disapprove,18-29,Male,"$75,000-$99,999",Middle Atlantic,4/29/2017 15:54,4/29/2017 15:56
107,6174726080,Very Liberal,Great Deal,No,Increase Trust,Strongly Disapprove,30-44,Male,"$75,000-$99,999",South Atlantic,4/29/2017 15:38,4/29/2017 15:39
108,6174721507,Liberal,Not Very Much,No,Increase Trust,Strongly Disapprove,30-44,Male,Prefer Not To Answer,Middle Atlantic,4/29/2017 15:31,4/29/2017 15:32
109,6174709818,Liberal,Fair Amount,Yes,Increase Trust,Strongly Disapprove,30-44,Male,"$200,000 & up",West North Central,4/29/2017 15:12,4/29/2017 15:12
110,6174704207,Moderate,None At All,No,No Change,Somewhat Disapprove,30-44,Male,Prefer Not To Answer,New England,4/29/2017 15:03,4/29/2017 15:03
111,6174702857,Moderate,Not Very Much,No,Increase Trust,Somewhat Approve,18-29,Male,"$25,000-$49,999",South Atlantic,4/29/2017 15:01,4/29/2017 15:01
112,6174669558,Moderate,Fair Amount,No,Increase Trust,Somewhat Disapprove,30-44,Male,"$50,000-$74,999",West North Central,4/29/2017 14:04,4/29/2017 14:05
113,6174560497,Conservative,Not Very Much,No,No Change,Somewhat Approve,30-44,Male,"$50,000-$74,999",West South Central,4/29/2017 10:26,4/29/2017 10:28
114,6174494532,Moderate,Not Very Much,Yes,No Change,Somewhat Approve,18-29,Male,"$0-$9,999",New England,4/29/2017 6:59,4/29/2017 7:37
115,6174450847,Very Liberal,Fair Amount,No,Increase Trust,Strongly Disapprove,30-44,Male,"$75,000-$99,999",Pacific,4/29/2017 5:40,4/29/2017 5:41
116,6174422768,Liberal,Fair Amount,No,Increase Trust,Strongly Disapprove,30-44,Male,"$100,000-$124,999",West North Central,4/29/2017 4:17,4/29/2017 4:18
117,6174412996,Very Liberal,Fair Amount,No,Increase Trust,Strongly Disapprove,30-44,Male,"$50,000-$74,999",Mountain,4/29/2017 3:52,4/29/2017 3:53
118,6174407789,Moderate,Not Very Much,No,Increase Trust,Somewhat Approve,30-44,Male,"$100,000-$124,999",Pacific,4/29/2017 3:36,4/29/2017 3:41
119,6174400966,Moderate,Fair Amount,No,Increase Trust,Strongly Disapprove,18-29,Male,"$0-$9,999",New England,4/29/2017 3:24,4/29/2017 3:26
120,6174395294,Moderate,Fair Amount,No,Increase Trust,Somewhat Disapprove,30-44,Male,Prefer Not To Answer,New England,4/29/2017 3:11,4/29/2017 3:13
121,6174375318,Conservative,None At All,No,No Change,Somewhat Approve,30-44,Male,"$125,000-$149,999",West North Central,4/29/2017 2:29,4/29/2017 2:30
122,6174359081,Moderate,Not Very Much,No,Increase Trust,Somewhat Approve,18-29,Male,"$25,000-$49,999",West South Central,4/29/2017 1:57,4/29/2017 1:58
123,6174331626,Very Liberal,Fair Amount,No,Increase Trust,Strongly Disapprove,18-29,Male,"$10,000-$24,999",Middle Atlantic,4/29/2017 1:05,4/29/2017 1:08
124,6174318028,Conservative,Not Very Much,Yes,No Change,Somewhat Approve,30-44,Male,"$100,000-$124,999",East North Central,4/29/2017 0:43,4/29/2017 0:45
125,6174315975,Moderate,Not Very Much,No,Increase Trust,Strongly Disapprove,30-44,Male,"$50,000-$74,999",Mountain,4/29/2017 0:39,4/29/2017 0:41
126,6174302906,Moderate,Not Very Much,No,Increase Trust,Strongly Approve,30-44,Male,"$100,000-$124,999",Middle Atlantic,4/29/2017 0:19,4/29/2017 0:20
127,6174275073,Very Conservative,Not Very Much,No,No Change,Strongly Approve,18-29,Male,"$10,000-$24,999",East South Central,4/28/2017 23:38,4/28/2017 23:39
128,6174248411,Moderate,Fair Amount,No,Increase Trust,Somewhat Approve,30-44,Male,"$25,000-$49,999",South Atlantic,4/28/2017 22:55,4/28/2017 23:01
129,6174171654,Moderate,Fair Amount,No,No Change,Somewhat Approve,30-44,Male,Prefer Not To Answer,New England,4/28/2017 21:39,4/28/2017 21:41
130,6174170376,Liberal,Fair Amount,No,Increase Trust,Strongly Disapprove,30-44,Male,"$100,000-$124,999",Pacific,4/28/2017 21:38,4/28/2017 21:40
131,6174134823,Moderate,None At All,No,No Change,Somewhat Approve,30-44,Male,"$100,000-$124,999",East North Central,4/28/2017 21:07,4/28/2017 21:08
132,6174104786,Conservative,Not Very Much,No,Increase Trust,Somewhat Approve,30-44,Male,"$75,000-$99,999",West North Central,4/28/2017 20:42,4/28/2017 20:43
133,6174086628,Moderate,Great Deal,No,Increase Trust,Strongly Disapprove,30-44,Male,"$200,000 & up",South Atlantic,4/28/2017 20:29,4/28/2017 20:29
134,6174015385,Conservative,Fair Amount,No,Increase Trust,Strongly Disapprove,30-44,Male,"$125,000-$149,999",Middle Atlantic,4/28/2017 19:41,4/28/2017 19:42
135,6174007291,Moderate,Not Very Much,Yes,Increase Trust,Somewhat Approve,30-44,Male,"$150,000-$174,999",West North Central,4/28/2017 19:35,4/28/2017 19:36
136,6173999044,Moderate,Not Very Much,No,Increase Trust,Strongly Disapprove,30-44,Male,"$75,000-$99,999",South Atlantic,4/28/2017 19:30,4/28/2017 19:30
137,6173982858,Very Liberal,Not Very Much,No,Increase Trust,Strongly Disapprove,18-29,Male,"$10,000-$24,999",West North Central,4/28/2017 19:19,4/28/2017 19:19
138,6173978380,Moderate,Fair Amount,No,Increase Trust,Strongly Disapprove,18-29,Male,"$125,000-$149,999",Middle Atlantic,4/28/2017 19:15,4/28/2017 19:16
139,6173925042,Conservative,Fair Amount,Yes,Increase Trust,Strongly Disapprove,30-44,Male,"$50,000-$74,999",Pacific,4/28/2017 18:40,4/28/2017 18:41
140,6173916198,Moderate,None At All,No,Increase Trust,Somewhat Disapprove,30-44,Male,"$100,000-$124,999",East South Central,4/28/2017 15:35,4/28/2017 18:36
141,6173886554,Conservative,Not Very Much,Yes,Increase Trust,Strongly Approve,45-59,Female,Prefer Not To Answer,South Atlantic,4/28/2017 18:16,4/28/2017 18:17
142,6173844521,Conservative,Not Very Much,Yes,Increase Trust,Somewhat Approve,18-29,Male,"$100,000-$124,999",South Atlantic,4/28/2017 17:50,4/28/2017 17:51
143,6173835288,Very Liberal,Fair Amount,No,Increase Trust,Strongly Disapprove,18-29,Male,"$75,000-$99,999",West South Central,4/28/2017 17:44,4/28/2017 17:45
144,6173811536,Moderate,Not Very Much,No,Increase Trust,Somewhat Approve,30-44,Male,"$200,000 & up",Pacific,4/28/2017 17:29,4/28/2017 17:30
145,6173793287,Liberal,Great Deal,No,Increase Trust,Strongly Disapprove,30-44,Male,"$100,000-$124,999",Mountain,4/28/2017 17:17,4/28/2017 17:18
146,6173790714,Moderate,Not Very Much,No,Increase Trust,Somewhat Disapprove,18-29,Male,"$25,000-$49,999",Mountain,4/28/2017 17:16,4/28/2017 17:17
147,6173784706,Very Liberal,Fair Amount,No,Increase Trust,Strongly Disapprove,30-44,Male,"$75,000-$99,999",Middle Atlantic,4/28/2017 17:12,4/28/2017 17:13
148,6173780585,Moderate,Not Very Much,No,Increase Trust,Strongly Disapprove,30-44,Male,"$25,000-$49,999",Mountain,4/28/2017 17:10,4/28/2017 17:11
149,6173772636,Moderate,Fair Amount,No,Increase Trust,Strongly Disapprove,30-44,Male,"$25,000-$49,999",East North Central,4/28/2017 17:05,4/28/2017 17:06
150,6173761327,Very Conservative,Not Very Much,No,Increase Trust,Somewhat Approve,30-44,Male,"$100,000-$124,999",Pacific,4/28/2017 16:58,4/28/2017 17:00
151,6173761149,Liberal,Great Deal,No,Increase Trust,Strongly Disapprove,18-29,Male,"$50,000-$74,999",Pacific,4/28/2017 16:58,4/28/2017 17:00
152,6173750544,Moderate,None At All,Yes,Increase Trust,Somewhat Approve,30-44,Male,"$125,000-$149,999",South Atlantic,4/28/2017 16:52,4/28/2017 16:54
153,6173745647,Very Liberal,None At All,No,Increase Trust,Strongly Approve,30-44,Male,"$25,000-$49,999",East South Central,4/28/2017 16:50,4/28/2017 16:51
154,6173684932,Moderate,Not Very Much,Yes,Increase Trust,Strongly Approve,30-44,Female,"$25,000-$49,999",New England,4/28/2017 16:10,4/28/2017 16:16
155,6173677940,Moderate,Not Very Much,No,No Change,Somewhat Disapprove,30-44,Male,"$100,000-$124,999",Pacific,4/28/2017 16:11,4/28/2017 16:12
156,6173667768,Moderate,Fair Amount,No,Increase Trust,Strongly Disapprove,18-29,Male,"$25,000-$49,999",West South Central,4/28/2017 16:05,4/28/2017 16:06
157,6173660763,Very Liberal,Fair Amount,Yes,Increase Trust,Strongly Disapprove,30-44,Male,"$150,000-$174,999",Pacific,4/28/2017 16:00,4/28/2017 16:02
158,6173613769,Moderate,Not Very Much,No,Increase Trust,Strongly Disapprove,30-44,Male,"$125,000-$149,999",South Atlantic,4/28/2017 15:36,4/28/2017 15:37
159,6173611865,Very Conservative,Not Very Much,No,Increase Trust,Strongly Approve,30-44,Male,"$25,000-$49,999",West North Central,4/28/2017 15:33,4/28/2017 15:35
160,6173592306,Liberal,Not Very Much,No,Increase Trust,Somewhat Disapprove,30-44,Male,"$175,000-$199,999",East South Central,4/28/2017 15:18,4/28/2017 15:25
161,6173589823,Moderate,Fair Amount,No,Increase Trust,Strongly Disapprove,30-44,Male,"$50,000-$74,999",Pacific,4/28/2017 15:22,4/28/2017 15:24
162,6173583003,Moderate,Not Very Much,No,Increase Trust,Somewhat Approve,30-44,Male,"$25,000-$49,999",West South Central,4/28/2017 15:18,4/28/2017 15:20
163,6173576606,Conservative,Fair Amount,Yes,No Change,Somewhat Disapprove,18-29,Male,"$25,000-$49,999",South Atlantic,4/28/2017 15:16,4/28/2017 15:17
164,6173510067,Liberal,Fair Amount,No,Increase Trust,Strongly Disapprove,30-44,Male,"$100,000-$124,999",Middle Atlantic,4/28/2017 14:28,4/28/2017 14:42
165,6173507362,Very Liberal,Fair Amount,No,No Change,Strongly Disapprove,30-44,Male,"$75,000-$99,999",West South Central,4/28/2017 14:34,4/28/2017 14:41
166,6173439869,Conservative,Fair Amount,No,Increase Trust,Somewhat Approve,30-44,Male,"$25,000-$49,999",West South Central,4/28/2017 14:03,4/28/2017 14:04
