respondentid,political_views,trust_in_press,online_paid_access,impression_with_access_to_data,trump_as_president,age,gender,income,us_region,startdate,enddate,new_york_times,wall_street_journal,usa_today,washington_post,fox_news,breitbart,cnn,buzzfeed,huffington_post,time,us_news_and_world_report,other
6174794249,Moderate,Fair Amount,No,Increase Trust,Somewhat Disapprove,18-29,Male,"$0-$9,999",West South Central,2017-04-29,2017-04-29,1,1,1,1,0,0,1,0,0,1,1,0
6174790001,Moderate,Fair Amount,Yes,Decrease Trust,Somewhat Approve,18-29,Male,Prefer Not To Answer,Pacific,2017-04-29,2017-04-29,0,0,0,0,1,0,0,0,0,0,0,0
6174756846,Very Liberal,Fair Amount,No,Increase Trust,Strongly Disapprove,30-44,Male,"$10,000-$24,999",Pacific,2017-04-29,2017-04-29,1,1,0,0,0,0,1,0,0,1,0,0
6174747637,Moderate,Not Very Much,No,Increase Trust,Strongly Approve,30-44,Male,"$50,000-$74,999",Middle Atlantic,2017-04-29,2017-04-29,0,0,0,0,0,0,0,0,0,0,1,0
6174736665,Very Liberal,Not Very Much,Yes,Increase Trust,Strongly Disapprove,18-29,Male,"$75,000-$99,999",Middle Atlantic,2017-04-29,2017-04-29,0,0,0,1,0,0,0,1,0,0,0,"narco news, telegraph and co, CBC, mojo (mostly)"
6174726080,Very Liberal,Great Deal,No,Increase Trust,Strongly Disapprove,30-44,Male,"$75,000-$99,999",South Atlantic,2017-04-29,2017-04-29,0,0,1,0,0,0,1,0,0,0,1,0
6174721507,Liberal,Not Very Much,No,Increase Trust,Strongly Disapprove,30-44,Male,Prefer Not To Answer,Middle Atlantic,2017-04-29,2017-04-29,1,0,0,1,0,0,0,0,0,0,1,0
6174709818,Liberal,Fair Amount,Yes,Increase Trust,Strongly Disapprove,30-44,Male,"$200,000 & up",West North Central,2017-04-29,2017-04-29,1,0,0,1,0,0,1,0,0,0,0,0
6174704207,Moderate,None At All,No,No Change,Somewhat Disapprove,30-44,Male,Prefer Not To Answer,New England,2017-04-29,2017-04-29,0,0,0,0,0,0,1,0,0,0,0,0
6174702857,Moderate,Not Very Much,No,Increase Trust,Somewhat Approve,18-29,Male,"$25,000-$49,999",South Atlantic,2017-04-29,2017-04-29,0,0,0,0,0,0,0,0,0,0,0,None
6174669558,Moderate,Fair Amount,No,Increase Trust,Somewhat Disapprove,30-44,Male,"$50,000-$74,999",West North Central,2017-04-29,2017-04-29,1,0,0,1,0,0,0,0,0,1,0,0
6174560497,Conservative,Not Very Much,No,No Change,Somewhat Approve,30-44,Male,"$50,000-$74,999",West South Central,2017-04-29,2017-04-29,0,0,0,0,0,0,0,0,0,0,0,haha
6174494532,Moderate,Not Very Much,Yes,No Change,Somewhat Approve,18-29,Male,"$0-$9,999",New England,2017-04-29,2017-04-29,0,1,0,1,0,0,0,0,0,0,0,0
6174450847,Very Liberal,Fair Amount,No,Increase Trust,Strongly Disapprove,30-44,Male,"$75,000-$99,999",Pacific,2017-04-29,2017-04-29,1,1,0,0,0,0,1,0,0,0,0,0
6174422768,Liberal,Fair Amount,No,Increase Trust,Strongly Disapprove,30-44,Male,"$100,000-$124,999",West North Central,2017-04-29,2017-04-29,1,1,0,1,0,0,1,0,0,1,1,0
6174412996,Very Liberal,Fair Amount,No,Increase Trust,Strongly Disapprove,30-44,Male,"$50,000-$74,999",Mountain,2017-04-29,2017-04-29,1,0,0,1,0,0,1,0,1,1,1,0
6174407789,Moderate,Not Very Much,No,Increase Trust,Somewhat Approve,30-44,Male,"$100,000-$124,999",Pacific,2017-04-29,2017-04-29,0,0,0,0,0,0,0,0,0,0,0,Not sure
6174400966,Moderate,Fair Amount,No,Increase Trust,Strongly Disapprove,18-29,Male,"$0-$9,999",New England,2017-04-29,2017-04-29,1,0,0,0,0,0,1,0,1,1,1,0
6174395294,Moderate,Fair Amount,No,Increase Trust,Somewhat Disapprove,30-44,Male,Prefer Not To Answer,New England,2017-04-29,2017-04-29,1,0,0,0,0,0,1,0,0,0,0,0
6174375318,Conservative,None At All,No,No Change,Somewhat Approve,30-44,Male,"$125,000-$149,999",West North Central,2017-04-29,2017-04-29,0,1,0,0,1,0,0,0,0,0,0,0
6174359081,Moderate,Not Very Much,No,Increase Trust,Somewhat Approve,18-29,Male,"$25,000-$49,999",West South Central,2017-04-29,2017-04-29,0,0,0,0,1,1,0,0,0,0,0,0
6174331626,Very Liberal,Fair Amount,No,Increase Trust,Strongly Disapprove,18-29,Male,"$10,000-$24,999",Middle Atlantic,2017-04-29,2017-04-29,0,0,0,0,0,0,0,0,0,0,1,NBC News
6174318028,Conservative,Not Very Much,Yes,No Change,Somewhat Approve,30-44,Male,"$100,000-$124,999",East North Central,2017-04-29,2017-04-29,0,0,0,0,1,0,0,0,0,0,1,0
6174315975,Moderate,Not Very Much,No,Increase Trust,Strongly Disapprove,30-44,Male,"$50,000-$74,999",Mountain,2017-04-29,2017-04-29,0,0,0,0,0,0,0,0,0,0,0,"NPR, BBC"
6174302906,Moderate,Not Very Much,No,Increase Trust,Strongly Approve,30-44,Male,"$100,000-$124,999",Middle Atlantic,2017-04-29,2017-04-29,0,0,0,0,0,0,0,0,0,0,0,news 1 nj
6174275073,Very Conservative,Not Very Much,No,No Change,Strongly Approve,18-29,Male,"$10,000-$24,999",East South Central,2017-04-28,2017-04-28,0,0,1,0,1,1,0,0,0,0,0,0
6174248411,Moderate,Fair Amount,No,Increase Trust,Somewhat Approve,30-44,Male,"$25,000-$49,999",South Atlantic,2017-04-28,2017-04-28,1,1,1,1,1,0,1,0,0,1,1,0
6174171654,Moderate,Fair Amount,No,No Change,Somewhat Approve,30-44,Male,Prefer Not To Answer,New England,2017-04-28,2017-04-28,1,1,1,0,1,0,1,0,0,1,1,0
6174170376,Liberal,Fair Amount,No,Increase Trust,Strongly Disapprove,30-44,Male,"$100,000-$124,999",Pacific,2017-04-28,2017-04-28,1,0,0,1,0,0,1,0,0,0,1,TheHill
6174134823,Moderate,None At All,No,No Change,Somewhat Approve,30-44,Male,"$100,000-$124,999",East North Central,2017-04-28,2017-04-28,0,0,0,0,0,0,0,0,0,0,0,None
6174104786,Conservative,Not Very Much,No,Increase Trust,Somewhat Approve,30-44,Male,"$75,000-$99,999",West North Central,2017-04-28,2017-04-28,0,1,0,0,1,0,0,0,0,0,0,Catholic News Agency
6174086628,Moderate,Great Deal,No,Increase Trust,Strongly Disapprove,30-44,Male,"$200,000 & up",South Atlantic,2017-04-28,2017-04-28,1,1,0,1,0,0,0,0,0,0,0,0
6174015385,Conservative,Fair Amount,No,Increase Trust,Strongly Disapprove,30-44,Male,"$125,000-$149,999",Middle Atlantic,2017-04-28,2017-04-28,0,1,1,0,0,0,0,0,0,1,1,0
6174007291,Moderate,Not Very Much,Yes,Increase Trust,Somewhat Approve,30-44,Male,"$150,000-$174,999",West North Central,2017-04-28,2017-04-28,1,1,1,1,1,1,1,1,1,1,1,0
6173999044,Moderate,Not Very Much,No,Increase Trust,Strongly Disapprove,30-44,Male,"$75,000-$99,999",South Atlantic,2017-04-28,2017-04-28,0,0,0,0,0,0,0,0,0,0,0,none
6173982858,Very Liberal,Not Very Much,No,Increase Trust,Strongly Disapprove,18-29,Male,"$10,000-$24,999",West North Central,2017-04-28,2017-04-28,0,0,0,1,0,0,0,0,0,0,0,0
